name,birth_year,birth_date,birthplace,race_ethnicity,religion,sexual_orientation,year_edition,category,movie
Marie Dressler,1868,1868-11-02,"Cobourg, Ontario, Canada",White,,Straight,1931,Best Actress,Min and Bill
George Arliss,1868,1868-04-10,"London, England",White,,Straight,1930,Best Actor,Desraeli
Edmund Gwenn,1875,1875-09-26,"Vale of Glamorgan, Wales",White,,Na,1948,Best Supporting Actor,Miracle on 34th Street
Charles Coburn,1877,1877-06-17,"Savannah, Ga",White,,Straight,1944,Best Supporting Actor,The More the Merrier
Lionel Barrymore,1878,1878-04-28,"Philadelphia, Pa",White,Roman Catholic,Straight,1931,Best Actor,A Free Soul
Jane Darwell,1879,1879-10-15,"Palmyra, Mo",White,,Straight,1941,Best Supporting Actress,The Grapes of Wrath
Ethel Barrymore,1879,1879-08-15,"Philadelphia, Pa",White,Roman Catholic,Straight,1945,Best Supporting Actress,None but the Lonely Heart
Donald Crisp,1880,1880-07-27,"London, England",White,,Straight,1942,Best Supporting Actor,How Green Was My Valley
Victor McLaglen,1883,1883-12-11,"Tunbridge Wells, Kent, England",White,Anglican/episcopalian,Straight,1936,Best Actor,The Informer
Victor Fleming,1883,1883-02-23,"Pasadena, Ca",White,,Straight,1940,Best Director,Gone with the Wind
Walter Huston,1884,1884-04-06,"Toronto, Ontario, Canada",White,,Straight,1949,Best Supporting Actor,The Treasure of the Sierra Madre
Emil Jannings,1884,1884-07-23,"Rorschach, Switzerland",White,,Bisexual,1929,Best Actor,The Last Command
Wallace Beery,1885,1885-04-01,"Kansas City, Mo",White,,Straight,1932,Best Actor,The Champ
Josephine Hull,1886,1886-01-03,"Newtonville, Ma",White,,Straight,1951,Best Supporting Actress,Harvey
Michael Curtiz,1886,1886-12-24,"Budapest, Hungary",White,,Straight,1944,Best Director,Casablanca
Frank Lloyd,1886,1886-02-02,"Glasgow, Scotland",White,,Straight,1930,Best Director,The Divine Lady
Frank Lloyd,1886,1886-02-02,"Glasgow, Scotland",White,,Straight,1934,Best Director,Cavalcade
Paul Lukas,1887,1887-05-26,"Budapest, Hungary",White,,Straight,1944,Best Actor,Watch on the Rhine
Barry Fitzgerald,1888,1888-03-10,"Dublin, Ireland",White,Protestant,Na,1945,Best Supporting Actor,Going My Way
Warner Baxter,1889,1889-03-29,"Columbus, Oh",White,,Straight,1930,Best Actor,In Old Arizona
Fay Bainter,1891,1891-12-07,"Los Angeles, Ca",White,,Straight,1939,Best Supporting Actress,Jezebel
Ronald Colman,1891,1891-02-09,"Richmond, Surrey, England",White,,Straight,1948,Best Actor,A Double Life
Margaret Rutherford,1892,1892-05-11,"London, England",White,,Straight,1964,Best Supporting Actress,the V.I.P.s
Mary Pickford,1892,1892-04-08,"Toronto, Ontario, Canada",White,,Straight,1930,Best Actress,Coquette
Thomas Mitchell,1892,1892-07-11,"Elizabeth, Nj",White,,Straight,1940,Best Supporting Actor,Stagecoach
Alice Brady,1892,1892-11-02,New York City,White,,Straight,1938,Best Supporting Actress,In Old Chicago
Hattie McDaniel,1893,1893-06-10,"Wichita, Ks",Black,Christian,Matter of Dispute,1940,Best Supporting Actress,Gone with the Wind
Frank Borzage,1894,1894-04-23,"Salt Lake City, Ut",White,Roman Catholic,Straight,1933,Best Director,Bad Girl
John Ford,1894,1894-02-01,"Cape Elizabeth, Me",White,Roman Catholic,Bisexual,1941,Best Director,The Grapes of Wrath
John Ford,1894,1894-02-01,"Cape Elizabeth, Me",White,Roman Catholic,Bisexual,1936,Best Director,The Informer
John Ford,1894,1894-02-01,"Cape Elizabeth, Me",White,Roman Catholic,Bisexual,1953,Best Director,The Quiet Man
John Ford,1894,1894-02-01,"Cape Elizabeth, Me",White,Roman Catholic,Bisexual,1942,Best Director,How Green Was My Valley
Walter Brennan,1894,1894-07-25,"Swampscott, Ma",White,,Straight,1938,Best Supporting Actor,Come and Get It
Walter Brennan,1894,1894-07-25,"Swampscott, Ma",White,,Straight,1939,Best Supporting Actor,Kentucky
Walter Brennan,1894,1894-07-25,"Swampscott, Ma",White,,Straight,1941,Best Supporting Actor,The Westerner
Paul Muni,1895,1895-09-22,"Lviv, Ukraine",White,Jewish,Straight,1937,Best Actor,The Story of Louis Pasteur
Lewis Milestone,1895,1895-09-30,"Chisinau, Moldova",White,,Straight,1927,Best Director,Two Arabian Knights
Lewis Milestone,1895,1895-09-30,"Chisinau, Moldova",White,,Straight,1931,Best Director,All Quiet on the Western Front
Ruth Gordon,1896,1896-10-30,"Quincy, Ma",White,,Straight,1969,Best Supporting Actress,Rosemary's Baby
Joseph Schildkraut,1896,1896-03-22,"Vienna, Austria",White,,Straight,1938,Best Supporting Actor,The Life of Emile Zola
George Burns,1896,1896-01-20,New York City,White,Jewish,Straight,1976,Best Supporting Actor,The Sunshine Boys
Fredric March,1897,1897-08-31,"Racine, Wi",White,,Straight,1947,Best Actor,The Best Years of Our Lives
Frank Capra,1897,1897-05-18,"Bisacquino, Sicily, Italy",White,Roman Catholic,Straight,1937,Best Director,Mr. Deeds Goes to Town
Frank Capra,1897,1897-05-18,"Bisacquino, Sicily, Italy",White,Roman Catholic,Straight,1935,Best Director,It Happened One Night
Frank Capra,1897,1897-05-18,"Bisacquino, Sicily, Italy",White,Roman Catholic,Straight,1939,Best Director,You Can't Take It with You
Shirley Booth,1898,1898-08-30,New York City,White,,Straight,1953,Best Actress,"Come Back, Little Sheba"
Leo McCarey,1898,1898-10-03,"Los Angeles, Ca",White,,Straight,1938,Best Director,The Awful Truth
Leo McCarey,1898,1898-10-03,"Los Angeles, Ca",White,,Straight,1945,Best Director,Going My Way
George Cukor,1899,1899-07-07,New York City,White,,Gay,1965,Best Director,My Fair Lady
Gale Sondergaard,1899,1899-02-15,"Litchfield, Mn",White,,Straight,1937,Best Supporting Actress,Anthony Adverse
